date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:19	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/word%20counter/www.google-analytics.com/analytics.js	(from https://wordcounter.net/)
11:06:19	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regulard41d.eot	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:19	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.eot	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:19	859957/859957	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2029%20Apr%202022%2008:43:15%20GMT	https://wordcounter.net/min/29baf04b38ade7352214c9a28af5062a654a109f.js	C:/My%20Web%20Sites/word%20counter/wordcounter.net/min/29baf04b38ade7352214c9a28af5062a654a109f.js	(from https://wordcounter.net/)
11:06:19	18028/18028	---M--	200	added ('OK')	font/woff2	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.woff2	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:20	23424/23424	---M--	200	added ('OK')	font/woff	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.woff	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:20	45404/45404	---MCZ	200	added ('OK')	font/ttf	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.ttf	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:21	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/81aa3581/fonts/glyphicons-halflings-regular.svg	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:21	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont5b62.eot	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
11:06:21	76518/76518	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20May%202021%2014:13:28%20GMT	https://wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/word%20counter/wordcounter.net/assets/f9bb720a/fonts/fontawesome-webfontd41d.eot	(from https://wordcounter.net/min/a719386aa6755386ca3d00da5fd47132e03dbbfb.css)
